minute_utc,calls,total_exec_time,total_plan_time,cpu_user_time,cpu_sys_time,shared_blks_hit,shared_blks_read,wal_bytes,requests,server5xx,step_sync,attempts,commits,busy,cpu_usage_steal,cpu_usage_iowait,cpu_usage_user,cpu_usage_system,procstat_cpu_usage
2026-09-10T15:11:00.000Z,17585.0,31083.202,21327.476,4701.345,717.052,652966.0,4369.0,17502856.0,531,0,45,85,85,75.2677870712237,10.142247122910337,0.6988106241276821,40.611952967666575,19.40853241844644,4.563465382343155
2026-09-10T15:12:00.000Z,15741.0,36526.445,19849.446,4958.838,1105.664,727425.0,9717.0,19679399.0,595,0,35,50,50,75.4096466596518,9.610535860535293,0.8887621387623825,41.77679302673138,18.460717210710996,5.521126065855775
2026-09-10T15:13:00.000Z,16466.0,28990.714,16163.524,4460.03,903.482,563487.0,6370.0,15719448.0,640,0,61,59,59,72.72461533598836,9.999428105851406,1.7692348713883976,36.75738424387707,19.803999982037286,4.592875854299102
2026-09-10T15:14:00.000Z,8788.0,8701.187,5157.118,2442.618,470.271,340336.0,5885.0,9247651.0,385,0,33,25,25,69.08590150190707,5.404692084685363,0.9764156582068266,38.83202970887068,19.537442841008776,4.808621541287385
2026-09-10T15:15:00.000Z,14334.0,27244.51,16700.115,3849.543,731.687,486934.0,4238.0,12939062.0,479,0,42,60,60,49.71154534253694,2.5071946195663877,0.6113016714524575,27.611964684177345,16.109281753643977,2.767975024008721
2026-09-10T15:16:00.000Z,9244.0,21578.739,11078.807,2721.564,731.279,367205.0,3263.0,8968596.0,271,0,30,41,41,71.63943665667827,9.182936170557767,1.1619018315545158,37.166198192986194,19.80357749579256,4.443472011343649
2026-09-10T15:17:00.000Z,8336.0,16447.493,7307.119,3513.611,816.076,524523.0,6114.0,6412985.0,236,0,35,42,41,66.79279070370328,6.593985382161404,0.5730119467858414,31.247670334040116,24.939192496949495,3.3027717399773895
2026-09-10T15:18:00.000Z,10285.0,21232.479,11770.162,2983.93,634.007,391303.0,3403.0,10748302.0,327,0,33,41,41,64.19329976336672,8.313309176940527,0.9060068908336405,30.870059240383934,20.57698476899227,3.218830797198854
2026-09-10T15:19:00.000Z,14506.0,27750.039,15154.186,4105.792,819.876,533484.0,6055.0,12658124.0,466,0,48,62,62,56.753944523936454,4.874563669209678,1.3038081054820048,30.505158976232714,16.793418476853745,4.122349916421561
2026-09-10T15:20:00.000Z,11775.0,37427.094,25286.444,3529.989,834.035,489570.0,4596.0,11988946.0,415,0,33,44,44,79.16797494152729,16.76802863943036,0.896787978682407,37.69171454496164,18.88102767872808,4.686698226623056
2026-09-10T15:21:00.000Z,9419.0,20927.397,13470.188,2764.083,497.581,407677.0,2623.0,9324474.0,314,0,29,32,31,78.7267163855701,19.66026235918663,0.6977335603681857,35.41282065005611,18.2144473846805,4.067134198432747
2026-09-10T15:22:00.000Z,10441.0,32710.118,16244.439,3873.543,960.162,542485.0,6625.0,19445516.0,327,0,28,42,42,65.43521035593278,10.850873786428366,0.8352621359224566,33.59057605181579,16.582394822038843,3.3094760634872182
2026-09-10T15:23:00.000Z,8937.0,17220.64,11339.295,2918.042,565.072,399276.0,2591.0,12296483.0,227,0,24,45,45,71.31111828294547,16.236492764235653,1.280197136809432,32.77596356701375,16.930108510104862,3.8172248275228124
2026-09-10T15:24:00.000Z,8862.0,13860.714,8491.679,2678.461,543.468,351083.0,4043.0,11435535.0,240,0,31,41,41,55.67802725190842,7.1333400456503995,0.4223721304874656,29.046432407080502,15.709323399138317,3.09942472020822
2026-09-10T15:25:00.000Z,5337.0,7764.128,4604.722,1804.746,333.56,236398.0,1352.0,4557923.0,109,0,21,30,30,49.58760225360583,6.939046413954922,0.8059031763628801,25.188367051086583,13.838094090154428,2.601982122232128
2026-09-10T15:26:00.000Z,8631.0,34264.166,15897.763,2906.823,1303.483,366247.0,3923.0,11181127.0,275,0,36,33,33,54.50430622725862,7.847059107550674,0.5629979550040869,28.130948352345307,15.06103558409392,2.3613293413753857
